obs. type,parameter,value,upper error,lower error,journal,lead author,month,year,num cites,reference,arXiv,Notes
lensing,Omega_Lambda,0,0,0,ApJ,Kochanek,8,1996,353,http://adsabs.harvard.edu/abs/1996ApJ...466..638K,astro-ph/9510077,
lensing,H_0,72,8,0,ApJ,Kochanek,1,2003,41,http://adsabs.harvard.edu/abs/2003ApJ...583...49K,astro-ph/0206006,
BBN,Omega_baryon,0.028,0.011,-0.006,ApJ,Kohri,11,1997,34,http://adsabs.harvard.edu/abs/1997ApJ...490...72K,astro-ph/9612237,Parameterised value
pec vels,Omega_M*H_0,0.75,0.05,0,ApJ,Kolatt,4,1997,58,http://adsabs.harvard.edu/abs/1997ApJ...479..592K,,Right parameter?
combined,Omega_Lambda,0.726,0.015,0,ApJ,Komatsu,2,2009,2064,http://adsabs.harvard.edu/abs/2009ApJS..180..330K,0803.0547,
combined,Sigma_8,0.812,0.016,0,ApJ,Komatsu,2,2009,2064,http://adsabs.harvard.edu/abs/2009ApJS..180..330K,0803.0547,
combined,n,0.96,0.013,0,ApJ,Komatsu,2,2009,2064,http://adsabs.harvard.edu/abs/2009ApJS..180..330K,0803.0547,
combined,Omega_baryon,0.046,0.002,0,ApJ,Komatsu,2,2009,2064,http://adsabs.harvard.edu/abs/2009ApJS..180..330K,0803.0547,
combined,NULL,51,30,0,ApJ,Komatsu,2,2009,2064,http://adsabs.harvard.edu/abs/2009ApJS..180..330K,0803.0547,Huh?
lensing,H_0,75,7,-6,ApJ,Koopmans,12,2003,67,http://adsabs.harvard.edu/abs/2003ApJ...599...70K,astro-ph/0306216,
lensing,H_0,64,4,-3.5,ApJ,Koopmans,12,1999,80,http://adsabs.harvard.edu/abs/1999ApJ...527..513K,astro-ph/9907258,More than one value actually given in abstract
SN,w_0,-0.969,0.086,-0.09,ApJ,Kowalski,10,2008,361,,,Can’t find
SN,Omega_Lambda,0.713,0.027,-0.029,ApJ,Kowalski,10,2008,444,,,Can’t find
lensing,H_0,64,13,0,ApJ,Kundic,6,1997,209,http://adsabs.harvard.edu/abs/1997ApJ...482...75K,astro-ph/9610162,
Clusters,Omega_M,0.25,0.15,0,ApJ,Ledlow,5,1999,15,http://adsabs.harvard.edu/abs/1999ApJ...516L..53L,astro-ph/9903117,Bounded data
Clusters,Sigma_8,1.01,0.09,0,ApJ,Lee,6,2006,6,http://adsabs.harvard.edu/abs/2006ApJ...643..724L,astro-ph/0508540,
SN,H_0,59,11,0,ApJ,Leonard,9,2003,68,http://adsabs.harvard.edu/abs/2003ApJ...594..247L,astro-ph/0305259,
other,Omega_Lambda,0.75,0.05,-0.04,ApJ,Liang,9,2008,27,http://adsabs.harvard.edu/abs/2008ApJ...685..354L,0802.4262,More parameters given in abstract
other,w_0,-1.05,0.27,-0.4,ApJ,Liang,9,2008,27,http://adsabs.harvard.edu/abs/2008ApJ...685..354L,0802.4262,More parameters given in abstract
NULL,Omega_M,0.31,0.18,0,ApJ,Liang,11,2005,126,http://adsabs.harvard.edu/abs/2005ApJ...633..611L,astro-ph/0504404,More range data
NULL,Omega_Lambda,0.675,0.175,0,ApJ,Liang,11,2005,126,http://adsabs.harvard.edu/abs/2005ApJ...633..611L,astro-ph/0504404,More range data
CMB,Omega_M,0.278,0.04,0,ApJ,Lieu,4,2005,15,http://adsabs.harvard.edu/abs/2005ApJ...623L...1L,astro-ph/0409048,
CMB,Omega_Lambda,0.782,0.04,0,ApJ,Lieu,4,2005,15,http://adsabs.harvard.edu/abs/2005ApJ...623L...1L,astro-ph/0409048,
other,w_0,0,0,0,ApJ,Lima,2,2002,43,http://adsabs.harvard.edu/abs/2002ApJ...566...15L,astro-ph/0109047,"More values given, and wrong number listed"
other,H_0,71,4,0,ApJ,Lima,1,2009,10,http://adsabs.harvard.edu/abs/2009ApJ...690L..85L,0709.2195,
other,Omega_M,0.27,0.03,0,ApJ,Lima,1,2009,10,http://adsabs.harvard.edu/abs/2009ApJ...690L..85L,0709.2195,
Clusters,Omega_M,0,0,0,ApJ,Lin,1,2003,6,http://adsabs.harvard.edu/abs/2003ApJ...582..574L,astro-ph/0208005,Wrong value given?
Clusters,Omega_M,0.28,0.03,0,ApJ,Lin,7,2003,154,http://adsabs.harvard.edu/abs/2003ApJ...591..749L,astro-ph/0304033,More than one value actually given in abstract
combined,Omega_Lambda,0.62,0.16,0,ApJ,Lineweaver,10,1998,152,http://adsabs.harvard.edu/abs/1998ApJ...505L..69L,astro-ph/9805326,
combined,Omega_M,0.24,0.1,0,ApJ,Lineweaver,10,1998,152,http://adsabs.harvard.edu/abs/1998ApJ...505L..69L,astro-ph/9805326,
z distort,Beta,0,0,0,ApJ,Loveday,9,1996,41,http://adsabs.harvard.edu/abs/1996ApJ...468....1L,astro-ph/9505099,Zero values?
other,H_0,85,5,0,ApJ,Lu,5,1994,12,http://adsabs.harvard.edu/abs/1994ApJ...426..473L,,Correct value?
Clusters,Omega_M,0.35,0.05,0,ApJ,Lubin,3,1996,47,http://adsabs.harvard.edu/abs/1996ApJ...460...10L,astro-ph/9509148,I think this is right
LSS,m_nu,0,0,0,ApJ,Ma,10,1994,110,http://adsabs.harvard.edu/abs/1994ApJ...434L...5M,astro-ph/9407085,"I think this is it, but can’t find values"
other,H_0,72,9,0,ApJ,Madore,4,1999,68,http://adsabs.harvard.edu/abs/1999ApJ...515...29M,astro-ph/9812157,
other,H_0,72,12,0,ApJ,Malhotra,12,1996,20,http://adsabs.harvard.edu/abs/1996ApJ...473..687M,astro-ph/9604151,
lensing,Omega_Lambda,0,0,0,ApJ,Maoz,10,1993,193,http://adsabs.harvard.edu/abs/1993ApJ...416..425M,,Constrained value → zero
Clusters,Omega_M,0,0,0,ApJ,Markevitch,8,1992,27,http://adsabs.harvard.edu/abs/1992ApJ...395..326M,,Maybe? Strangely stated in abstract
Clusters,H_0,76,34,0,ApJ,Markevitch,1,1996,92,http://adsabs.harvard.edu/abs/1996ApJ...456..437M,astro-ph/9506090,Large interval given
Clusters,Sigma_8,0.55,0.03,0,ApJ,Markevitch,9,1998,439,http://adsabs.harvard.edu/abs/1998ApJ...504...27M,astro-ph/9802059,More than one value actually given in abstract
Clusters,Omega_M,0.32,0.05,0,ApJ,Mason,7,2001,63,http://adsabs.harvard.edu/abs/2001ApJ...555L..11M,,More than one parameter actually given
pec vels,Omega_M*H_0,0.52,0.06,0,ApJ,Masters,12,2006,35,http://adsabs.harvard.edu/abs/2006ApJ...653..861M,astro-ph/0609249,
other,H_0,74,6.3,0,ApJ,Masters,12,2006,35,http://adsabs.harvard.edu/abs/2006ApJ...653..861M,astro-ph/0609249,
LSS,Sigma_8,0.79,0.08,0,ApJ,Matsubara,5,2000,24,http://adsabs.harvard.edu/abs/2000ApJ...535L...1M,astro-ph/9911151,Beta also given
LSS,Gamma,0.16,0.1,0,ApJ,Matsubara,5,2000,24,http://adsabs.harvard.edu/abs/2000ApJ...535L...1M,astro-ph/9911151,Beta also given
CMB,H_0,59,38,-28,ApJ,Mauskopf,8,2000,32,http://adsabs.harvard.edu/abs/2000ApJ...538..505M,,
LSS,Sigma_8,0.68,0.04,0,ApJ,McDonald,11,2000,180,http://adsabs.harvard.edu/abs/2000ApJ...543....1M,astro-ph/9911196,
LSS,n,0.93,0.1,0,ApJ,McDonald,11,2000,180,http://adsabs.harvard.edu/abs/2000ApJ...543....1M,astro-ph/9911196,
CMB,Omega_K,0.05,0.2,0,ApJ,Melchiorri,6,2000,164,http://adsabs.harvard.edu/abs/2000ApJ...536L..63M,astro-ph/9911445,"I think this is it, but can’t find values"
combined,Omega_M,0.26,0.06,-0.07,ApJ,Melchiorri,3,2003,14,http://adsabs.harvard.edu/abs/2003ApJ...586L...1M,astro-ph/0212276,
combined,H_0,66,5,-6,ApJ,Melchiorri,3,2003,14,http://adsabs.harvard.edu/abs/2003ApJ...586L...1M,astro-ph/0212276,This is implicit in abstract from little h. Stated in article?
combined,n,0.96,0.05,0,ApJ,Melchiorri,3,2003,14,http://adsabs.harvard.edu/abs/2003ApJ...586L...1M,astro-ph/0212276,
combined,Sigma_8,0.76,0.09,0,ApJ,Melchiorri,3,2003,14,http://adsabs.harvard.edu/abs/2003ApJ...586L...1M,astro-ph/0212276,
BAO,Omega_M,0.244,0.04,-0.06,ApJ,Miller,7,2001,33,http://adsabs.harvard.edu/abs/2001ApJ...555...68M,astro-ph/0103018,Parameterised value
BAO,Omega_baryon,0.059,0.022,-0.031,ApJ,Miller,7,2001,33,http://adsabs.harvard.edu/abs/2001ApJ...555...68M,astro-ph/0103018,Parameterised value
BAO,n,1.08,0.17,-0.2,ApJ,Miller,7,2001,33,http://adsabs.harvard.edu/abs/2001ApJ...555...68M,astro-ph/0103018,
lensing,Omega_Lambda,0.75,0.03,0,ApJ,Mitchell,3,2005,63,http://adsabs.harvard.edu/abs/2005ApJ...622...81M,astro-ph/0401138,More than one parameter actually given
LSS,Sigma_8,0,0,0,ApJ,Mo,7,1994,75,http://adsabs.harvard.edu/abs/1994ApJ...430L..25M,astro-ph/9402014,"I think this is it, but can’t find values, and other parameters stated"
CMB,n,1.15,0.39,-0.34,ApJ,Mollerach,11,1999,3,http://adsabs.harvard.edu/abs/1999ApJ...525...17M,astro-ph/9906345,
other,H_0,75,12.5,0,ApJ,Mould,8,1995,65,http://adsabs.harvard.edu/abs/1995ApJ...449..413M,,More than one value actually given in abstract
other,H_0,71,6,0,ApJ,Mould,2,2000,229,http://adsabs.harvard.edu/abs/2000ApJ...529..786M,astro-ph/9909260,More than one value actually given in abstract
pec vels,Omega_M,0.22,0.02,0,ApJ,Moyahee,12,2005,26,,,Can’t find
Clusters,Omega_M,0.22,0.02,0,ApJ,Muzzin,7,2007,14,http://adsabs.harvard.edu/abs/2007ApJ...663..150M,astro-ph/0703369,
Clusters,Gamma,0,0,0,ApJ,Myers,8,1997,112,http://adsabs.harvard.edu/abs/1997ApJ...485....1M,astro-ph/9703123,Can’t see parameter in abstract
Clusters,H_0,54,14,0,ApJ,Myers,8,1997,112,http://adsabs.harvard.edu/abs/1997ApJ...485....1M,astro-ph/9703123,
other,H_0,90,17,0,ApJ,Nakamura,7,1995,10,http://adsabs.harvard.edu/abs/1995ApJ...447L..65N,astro-ph/9505036,Wrong value listed?
SN,w_0,-1.08,0.09,-0.08,ApJ,Neill,6,2007,18,http://adsabs.harvard.edu/abs/2007ApJ...661L.123N,0704.1654,More parameters given in abstract
SN,Omega_M,0.27,0.02,0,ApJ,Neill,6,2007,18,http://adsabs.harvard.edu/abs/2007ApJ...661L.123N,0704.1654,More parameters given in abstract
Clusters,Omega_M,0,0,0,ApJ,Nevalainen,11,1999,17,http://adsabs.harvard.edu/abs/1999ApJ...526....1N,astro-ph/9906286,Constraint given
Clusters,Omega_M,0,0,0,ApJ,Nevalainen,6,2000,28,http://adsabs.harvard.edu/abs/2000ApJ...536...73N,astro-ph/0001162,Constraint given
pec vels,Omega_M,0,0,0,ApJ,Nusser,3,1993,73,http://adsabs.harvard.edu/abs/1993ApJ...405..437N,,Maybe?
BBN,Omega_baryon,0.039,0.003,0,ApJ,OMeara,5,2001,279,http://adsabs.harvard.edu/abs/2001ApJ...552..718O,astro-ph/0011179,Parameterised value
lensing,Sigma_8,1,0.2,-0.1,ApJ,Oguri,4,2004,64,http://adsabs.harvard.edu/abs/2004ApJ...605...78O,astro-ph/0312429,
lensing,H_0,68,10,0,ApJ,Oguri,5,2007,41,http://adsabs.harvard.edu/abs/2007ApJ...660....1O,astro-ph/0609694,More than one value actually given in abstract
LSS,Omega_M,0.218,0.047,-0.037,ApJ,Okumua,4,2008,47,,,
LSS,w_0,-0.93,0.45,-0.35,ApJ,Okumua,4,2008,47,,,
z distort,Beta,0.51,0.15,0,ApJ,Padilla,6,2001,14,http://adsabs.harvard.edu/abs/2001ApJ...554..873P,,Value and constraint?
lensing,H_0,66,6,-4,ApJ,Paraficz,4,2010,0,http://adsabs.harvard.edu/abs/2010ApJ...712.1378P,1002.2570,More than one value actually given in abstract
LSS,Omega_M,0,0,0.13,ApJ,Park,12,1991,20,http://adsabs.harvard.edu/abs/1991ApJ...382L..59P,,"I think this is it, but can’t find values"
lensing,NULL,0,0,0,ApJ,Park,11,1997,21,http://adsabs.harvard.edu/abs/1997ApJ...489..476P,astro-ph/9702173,Um…?
pec vels,Omega_M*H_0,0.56,0.27,-0.21,ApJ,Park,1,2006,8,http://adsabs.harvard.edu/abs/2006ApJ...637....1P,astro-ph/0509740,Lots of numbers given for different things in abstract
pec vels,Omega_M,0.3,0.09,-0.05,ApJ,Park,1,2006,8,http://adsabs.harvard.edu/abs/2006ApJ...637....1P,astro-ph/0509740,Lots of numbers given for different things in abstract
SN,H_0,58.5,6.3,0,ApJ,Parodi,9,2000,97,http://adsabs.harvard.edu/abs/2000ApJ...540..634P,astro-ph/0004063,
Clusters,H_0,52.2,11.4,-11.9,ApJ,Patel,9,2000,27,http://adsabs.harvard.edu/abs/2000ApJ...541...37P,,Multiple values given
Clusters,Sigma_8,0.88,0.09,0,ApJ,Pedersen,9,2007,25,http://adsabs.harvard.edu/abs/2007ApJ...667...26P,astro-ph/0603260,
lensing,Omega_M,0,0,0,ApJ,Pen,8,2003,48,http://adsabs.harvard.edu/abs/2003ApJ...592..664P,astro-ph/0302031,Constrained value → zero
BAO,Omega_M,0.256,0.029,-0.024,ApJ,Percival,3,2007,76,http://adsabs.harvard.edu/abs/2007ApJ...657...51P,astro-ph/0608635,
SN,Omega_Lambda,0.72,0.11,0,ApJ,Perlmutter,6,1999,4964,http://adsabs.harvard.edu/abs/1999ApJ...517..565P,astro-ph/9812133,"I think this is it, but can’t find values"
SN,Omega_M,0.94,0.17,-0.14,ApJ,Perlmutter,7,1997,789,http://adsabs.harvard.edu/abs/1997ApJ...483..565P,astro-ph/9608192,
SN,Omega_M,0.28,0.09,-0.08,ApJ,Perlmutter,6,1999,5270,http://adsabs.harvard.edu/abs/1999ApJ...517..565P,astro-ph/9812133,
BBN,Omega_baryon,0.051,0.002,0,ApJ,Pettini,10,2001,141,http://adsabs.harvard.edu/abs/2001ApJ...560...41P,astro-ph/0104474,Parameterised value
SN,H_0,86,12,0,ApJ,Pierce,5,1992,24,http://adsabs.harvard.edu/abs/1992ApJ...390L..45P,,"I think this is it, but can’t find values"
pec vels,Sigma_8,0.85,0.05,0,ApJ,Pike,12,2005,23,http://adsabs.harvard.edu/abs/2005ApJ...635...11P,astro-ph/0511012,More than one value actually given in abstract
LSS,Beta,0.45,0.12,0,ApJ,Pope,6,2004,100,http://adsabs.harvard.edu/abs/2004ApJ...607..655P,astro-ph/0401249,More parameters given in abstract
LSS,Gamma,0.264,0.043,0,ApJ,Pope,6,2004,100,http://adsabs.harvard.edu/abs/2004ApJ...607..655P,astro-ph/0401249,More parameters given in abstract
CMB,Omega_K,0,0.04,0,ApJ,Pryke,3,2002,388,http://adsabs.harvard.edu/abs/2002ApJ...568...46P,astro-ph/0104490,
CMB,Omega_Lambda,0.6,0.15,0,ApJ,Pryke,3,2002,388,http://adsabs.harvard.edu/abs/2002ApJ...568...46P,astro-ph/0104490,
CMB,Omega_M,0.4,0.15,0,ApJ,Pryke,3,2002,388,http://adsabs.harvard.edu/abs/2002ApJ...568...46P,astro-ph/0104490,
CMB,n,1.01,0.08,-0.06,ApJ,Pryke,3,2002,388,http://adsabs.harvard.edu/abs/2002ApJ...568...46P,astro-ph/0104490,
CMB,Omega_baryon,0.044,0.008,-0.003,ApJ,Pryke,3,2002,388,http://adsabs.harvard.edu/abs/2002ApJ...568...46P,astro-ph/0104490,
LSS,Omega_baryon,0,0,0,ApJ,Rauch,11,1997,281,http://adsabs.harvard.edu/abs/1997ApJ...489....7R,astro-ph/9612245,"Constrained value, but constraint is greater than"
Clusters,H_0,63,24,0,ApJ,Reese,4,2000,71,http://adsabs.harvard.edu/abs/2000ApJ...533...38R,astro-ph/9912071,More than one value actually given in abstract (is this the right paper?)
Clusters,H_0,60,13,-18,ApJ,Reese,12,2002,123,http://adsabs.harvard.edu/abs/2002ApJ...581...53R,astro-ph/0205350,
Clusters,H_0,63,12,-9,ApJ,Reese,4,2000,73,http://adsabs.harvard.edu/abs/2000ApJ...533...38R,astro-ph/9912071,More than one value actually given in abstract (is this the right paper?)
lensing,Sigma_8,0.94,0.17,0,ApJ,Refregier,6,2002,110,http://adsabs.harvard.edu/abs/2002ApJ...572L.131R,astro-ph/0203131,
Clusters,Omega_M,1,0.4,0,ApJ,Reichart,6,1999,81,http://adsabs.harvard.edu/abs/1999ApJ...518..521R,astro-ph/9802153,More than one value actually given in abstract
lensing,Sigma_8,0.91,0.25,-0.3,ApJ,Rhodes,5,2001,77,http://adsabs.harvard.edu/abs/2001ApJ...552L..85R,astro-ph/0101213,Parameterised value
Clusters,Omega_M,0,0,0,ApJ,Richstone,7,1992,210,http://adsabs.harvard.edu/abs/1992ApJ...393..477R,,"I think this is it, but can’t find values"
SN,H_0,64,6,0,ApJ,Riess,12,1996,355,http://adsabs.harvard.edu/abs/1996ApJ...473...88R,astro-ph/9604143,
pec vels,Beta,0.4,0.15,0,ApJ,Riess,10,1997,71,http://adsabs.harvard.edu/abs/1997ApJ...488L...1R,astro-ph/9707261,
SN,Omega_Lambda,0.71,0.05,-0.03,ApJ,Riess,6,2004,1921,http://adsabs.harvard.edu/abs/2004ApJ...607..665R,astro-ph/0402512,More parameters given in abstract
SN,w_0,-1.02,0.13,-0.19,ApJ,Riess,6,2004,1921,http://adsabs.harvard.edu/abs/2004ApJ...607..665R,astro-ph/0402512,More parameters given in abstract
SN,H_0,73,6.4,0,ApJ,Riess,7,2005,96,http://adsabs.harvard.edu/abs/2005ApJ...627..579R,astro-ph/0503159,
combined,H_0,74.2,3.6,0,ApJ,Riess,7,2009,142,http://adsabs.harvard.edu/abs/2009ApJ...699..539R,0905.0695,
lensing,H_0,61,6.5,-7.5,ApJ,Romanowsky,5,1999,42,http://adsabs.harvard.edu/abs/1999ApJ...516...18R,astro-ph/9805080,
LSS,Sigma_8,0.79,0.05,0,ApJ,Ross,8,2008,4,http://adsabs.harvard.edu/abs/2008ApJ...682..737R,0804.3325,
SN,H_0,56,9,0,ApJ,Saha,12,1996,59,http://adsabs.harvard.edu/abs/1996ApJS..107..693S,,More than one value actually given in abstract
other,H_0,58,7,-8,ApJ,Saha,9,1997,111,http://adsabs.harvard.edu/abs/1997ApJ...486....1S,,They state an incorrect value from another paper in abstract
SN,H_0,60,2,0,ApJ,Saha,9,1999,104,http://adsabs.harvard.edu/abs/1999ApJ...522..802S,astro-ph/9904389,
SN,H_0,52,9,0,ApJ,Saha,4,1994,144,http://adsabs.harvard.edu/abs/1994ApJ...425...14S,,
other,Omega_M,0.35,0.15,0,ApJ,Salucci,3,1993,2,http://adsabs.harvard.edu/abs/1993ApJ...405..459S,,
other,H_0,52,2,0,ApJ,Sandage,12,1990,110,http://adsabs.harvard.edu/abs/1990ApJ...365....1S,,
SN,H_0,47,5,0,ApJ,Sandage,9,1993,89,http://adsabs.harvard.edu/abs/1993ApJ...415....1S,,
other,H_0,45,12,0,ApJ,Sandage,2,1993,23,http://adsabs.harvard.edu/abs/1993ApJ...404..419S,,
SN,H_0,56,4,0,ApJ,Sandage,3,1996,121,http://adsabs.harvard.edu/abs/1996ApJ...460L..15S,,More than one value actually given in abstract
other,H_0,62,9,0,ApJ,Sandage,6,1996,15,http://adsabs.harvard.edu/abs/1996ApJ...464L..51S,,
other,H_0,62.3,5.2,0,ApJ,Sandage,12,2006,103,http://adsabs.harvard.edu/abs/2006ApJ...653..843S,astro-ph/0603647,
combined,H_0,55,3,0,ApJ,Sandage,12,1999,43,http://adsabs.harvard.edu/abs/1999ApJ...527..479S,,More than one value actually given in abstract
LSS,Omega_M,0.2,0.1,0,ApJ,Saslaw,5,2000,3,http://adsabs.harvard.edu/abs/2000ApJ...534....1S,,Wrong value given?
LSS,Omega_M,0.4,0.1,-0.06,ApJ,Schade,3,1994,2,http://adsabs.harvard.edu/abs/1994ApJ...423L..85S,,
SN,H_0,55,8,0,ApJ,Schaefer,12,1998,19,http://adsabs.harvard.edu/abs/1998ApJ...509...80S,astro-ph/9808157,
SN,H_0,60,10,0,ApJ,Schmidt,8,1992,104,http://adsabs.harvard.edu/abs/1992ApJ...395..366S,astro-ph/9204004,
SN,Omega_M,0.4,0.5,-0.4,ApJ,Schmidt,11,1998,661,http://adsabs.harvard.edu/abs/1998ApJ...507...46S,astro-ph/9805200,
SN,Omega_Lambda,0.6,0.4,-0.5,ApJ,Schmidt,11,1998,661,http://adsabs.harvard.edu/abs/1998ApJ...507...46S,astro-ph/9805200,
LSS,NULL,0,0,0,ApJ,Schuecker,3,1998,5,http://adsabs.harvard.edu/abs/1998ApJ...496..635S,,Um…?
pec vels,Beta,1.3,0.4,-0.3,ApJ,Seljak,6,1994,12,http://adsabs.harvard.edu/abs/1994ApJ...427..523S,astro-ph/9311072,Wrong parameter listed?
pec vels,Omega_M,0.065,0.035,0,ApJ,Shaya,5,1992,33,http://adsabs.harvard.edu/abs/1992ApJ...391...16S,,"I think this is it, but can’t find values"
Clusters,Sigma_8,0.73,0.27,-0.11,ApJ,Shimasaku,11,1997,7,http://adsabs.harvard.edu/abs/1997ApJ...489..501S,astro-ph/9701201,More than one value actually given in abstract
Clusters,n,-1.5,0.12,-0.4,ApJ,Shimasaku,11,1997,7,http://adsabs.harvard.edu/abs/1997ApJ...489..501S,astro-ph/9701201,More than one value actually given in abstract
combined,Omega_Lambda,0.7,0.05,0,ApJ,Sievers,7,2003,206,http://adsabs.harvard.edu/abs/2003ApJ...591..599S,astro-ph/0205387,Wrong value given?
combined,H_0,69,4,0,ApJ,Sievers,7,2003,206,http://adsabs.harvard.edu/abs/2003ApJ...591..599S,astro-ph/0205387,Implicit in abstract from little h
combined,n,1.08,0.11,-0.1,ApJ,Sievers,7,2003,206,http://adsabs.harvard.edu/abs/2003ApJ...591..599S,astro-ph/0205387,
combined,Omega_K,0.08,0.11,-0.12,ApJ,Sievers,7,2003,206,http://adsabs.harvard.edu/abs/2003ApJ...591..599S,astro-ph/0205387,Not given in abstract?
pec vels,Beta,0.89,0.12,0,ApJ,Sigad,3,1998,102,http://adsabs.harvard.edu/abs/1998ApJ...495..516S,astro-ph/9708141,
pec vels,Omega_M*H_0,0.49,0.06,0,ApJ,Silberman,8,2001,28,http://adsabs.harvard.edu/abs/2001ApJ...557..102S,astro-ph/0101361,
pec vels,Omega_M,0.32,0.06,0,ApJ,Silberman,8,2001,28,http://adsabs.harvard.edu/abs/2001ApJ...557..102S,astro-ph/0101361,
lensing,Omega_M,0,0,0,ApJ,Smail,4,1997,131,http://adsabs.harvard.edu/abs/1997ApJ...479...70S,astro-ph/9610270,"I think this is it, but can’t find values"
other,Omega_baryon,0.043,0.004,0,ApJ,Sonneborn,12,2000,64,http://adsabs.harvard.edu/abs/2000ApJ...545..277S,astro-ph/0007238,Parameterised value
combined,H_0,71,4,-3,ApJ,Spergel,9,2003,6011,http://adsabs.harvard.edu/abs/2003ApJS..148..175S,astro-ph/0302209,Implicit in abstract from little h
combined,Sigma_8,0.84,0.04,0,ApJ,Spergel,9,2003,6011,http://adsabs.harvard.edu/abs/2003ApJS..148..175S,astro-ph/0302209,
combined,n,0.93,0.03,0,ApJ,Spergel,9,2003,6011,http://adsabs.harvard.edu/abs/2003ApJS..148..175S,astro-ph/0302209,
combined,Omega_M,0.275,0.008,-0.009,ApJ,Spergel,9,2003,6011,http://adsabs.harvard.edu/abs/2003ApJS..148..175S,astro-ph/0302209,"Parameterised, and other omega values given"
combined,m_nu,0,0,-0.009,ApJ,Spergel,9,2003,6011,http://adsabs.harvard.edu/abs/2003ApJS..148..175S,astro-ph/0302209,Constrained value → zero
combined,w_0,-0.967,0.073,-0.072,ApJ,Spergel,6,2007,4286,http://adsabs.harvard.edu/abs/2007ApJS..170..377S,astro-ph/0603449,
combined,Omega_K,-0.011,0.012,0,ApJ,Spergel,6,2007,4286,http://adsabs.harvard.edu/abs/2007ApJS..170..377S,astro-ph/0603449,
combined,Omega_Lambda,0.716,0.055,0,ApJ,Spergel,6,2007,4286,http://adsabs.harvard.edu/abs/2007ApJS..170..377S,astro-ph/0603449,
