obs. type,parameter,value,upper error,lower error,journal,lead author,month,year,num cites,reference,arXiv,Notes
combined,m_nu,0,0,0,ApJ,Spergel,6,2007,4286,http://adsabs.harvard.edu/abs/2007ApJS..170..377S,astro-ph/0603449,
CMB,Sigma_8,0.761,0.049,0,ApJ,Spergel,6,2007,4286,http://adsabs.harvard.edu/abs/2007ApJS..170..377S,astro-ph/0603449,
BBN,Omega_baryon,0.168,0.083,0,ApJ,Steigman,11,1995,41,http://adsabs.harvard.edu/abs/1995ApJ...453..173S,astro-ph/9502067,Parameterised value
CMB,Omega_baryon,0.067,0.013,0,ApJ,Stompor,11,2001,235,http://adsabs.harvard.edu/abs/2001ApJ...561L...7S,astro-ph/0105062,Parameterised value
CMB,Omega_K,-0.1,0.18,-0.16,ApJ,Stompor,11,2001,235,http://adsabs.harvard.edu/abs/2001ApJ...561L...7S,astro-ph/0105062,Can’t find value in abstract
CMB,Omega_M,0.25,0.15,0,ApJ,Sugiyama,12,1990,26,http://adsabs.harvard.edu/abs/1990ApJ...365..432S,,Range data in abstract
CMB,H_0,75,25,0,ApJ,Sugiyama,12,1990,26,http://adsabs.harvard.edu/abs/1990ApJ...365..432S,,Range data in abstract
combined,Omega_M,0.37,0.01,0,ApJ,Susperregi,12,2001,4,http://adsabs.harvard.edu/abs/2001ApJ...563..473S,astro-ph/0102319,
CMB,Omega_K,0.07,0.155,0,ApJ,Tegmark,11,2000,101,http://adsabs.harvard.edu/abs/2000ApJ...544...30T,astro-ph/0002091,Range data in abstract
LSS,Gamma,0.213,0.023,0,ApJ,Tegmark,5,2004,767,http://adsabs.harvard.edu/abs/2004ApJ...606..702T,astro-ph/0310725,"I think this is it, but can’t find values, and other parameters stated"
SN,Omega_M,0.28,0.05,0,ApJ,Tonry,9,2003,1011,http://adsabs.harvard.edu/abs/2003ApJ...594....1T,astro-ph/0305008,
SN,w_0,-1.1,0.38,0,ApJ,Tonry,9,2003,1011,http://adsabs.harvard.edu/abs/2003ApJ...594....1T,astro-ph/0305008,
Clusters,H_0,77,4,0,ApJ,Tonry,2,2000,159,http://adsabs.harvard.edu/abs/2000ApJ...530..625T,astro-ph/9907062,
Clusters,Omega_M,0,0,0,ApJ,Trevese,2,2000,6,http://adsabs.harvard.edu/abs/2000ApJ...530..680T,astro-ph/9912056,Constrained value → zero
SN,H_0,62,5,0,ApJ,Tripp,11,1999,20,http://adsabs.harvard.edu/abs/1999ApJ...525..209T,astro-ph/9904347,
other,H_0,77,8,0,ApJ,Tully,4,2000,141,http://adsabs.harvard.edu/abs/2000ApJ...533..744T,astro-ph/9911052,
combined,Omega_M,0.33,0.035,0,ApJ,Turner,9,2002,77,http://adsabs.harvard.edu/abs/2002ApJ...576L.101T,astro-ph/0106035,Value actually stated in title
combined,Omega_baryon,0.039,0.007,0,ApJ,Turner,9,2002,77,http://adsabs.harvard.edu/abs/2002ApJ...576L.101T,astro-ph/0106035,
other,H_0,71,7.1,0,ApJ,Tytler,12,2004,74,http://adsabs.harvard.edu/abs/2004ApJ...617....1T,astro-ph/0403688,
other,Omega_baryon,0.044,0.002,0,ApJ,Tytler,12,2004,74,http://adsabs.harvard.edu/abs/2004ApJ...617....1T,astro-ph/0403688,
other,Omega_Lambda,0.73,0.044,0,ApJ,Tytler,12,2004,74,http://adsabs.harvard.edu/abs/2004ApJ...617....1T,astro-ph/0403688,
other,Sigma_8,0.9,0.036,0,ApJ,Tytler,12,2004,74,http://adsabs.harvard.edu/abs/2004ApJ...617....1T,astro-ph/0403688,
Clusters,H_0,67,30,-18,ApJ,Udompraser,11,2004,22,,,Can’t find
z distort,Beta,0.7,0.1,0,ApJ,Vedel,7,1998,13,http://adsabs.harvard.edu/abs/1998ApJ...501..509V,astro-ph/9710076,"I think this is it, but can’t find values"
Clusters,Sigma_8,0.747,0.05,0,ApJ,Viana,4,2002,89,http://adsabs.harvard.edu/abs/2002ApJ...569L..75V,astro-ph/0111394,Parameterised value
Clusters,Omega_Lambda,0.47,0.43,0,ApJ,Vikhlinin,6,2003,51,http://adsabs.harvard.edu/abs/2003ApJ...590...15V,astro-ph/0212075,"I think this is it, but can’t find values, and other parameters stated"
combined,w_0,-0.991,0.045,0,ApJ,Vikhlinin,2,2009,134,http://adsabs.harvard.edu/abs/2009ApJ...692.1060V,0812.2720,More than one value actually given in abstract
combined,m_nu,0.33,0,-0.165,ApJ,Vikhlinin,2,2009,134,http://adsabs.harvard.edu/abs/2009ApJ...692.1060V,0812.2720,Given an constraint
Clusters,Sigma_8,0.72,0.04,0,ApJ,Voevodkin,1,2004,51,,,Can’t find
Clusters,Gamma,0.13,0.07,0,ApJ,Voevodkin,1,2004,51,,,Can’t find
SN,H_0,65,1,0,ApJ,Wang,6,2000,70,http://adsabs.harvard.edu/abs/2000ApJ...536..531W,astro-ph/9907405,
SN,Omega_Lambda,1.2,0.5,0,ApJ,Wang,6,2000,70,http://adsabs.harvard.edu/abs/2000ApJ...536..531W,astro-ph/9907405,Multiple values given
other,H_0,65,1,0,ApJ,Watanabe,8,1998,3,http://adsabs.harvard.edu/abs/1998ApJ...503..553W,astro-ph/9801256,
combined,Omega_M,0.39,0.14,-0.1,ApJ,Webster,12,1998,36,http://adsabs.harvard.edu/abs/1998ApJ...509L..65W,,
combined,H_0,53,5,-14,ApJ,Webster,12,1998,36,http://adsabs.harvard.edu/abs/1998ApJ...509L..65W,,Implicit in abstract from little h
LSS,Omega_baryon,0,0,0,ApJ,Weinberg,12,1997,145,http://adsabs.harvard.edu/abs/1997ApJ...490..564W,astro-ph/9701012,Lower bound given
LSS,Omega_M,0.34,0.13,0,ApJ,Weinberg,9,1999,39,http://adsabs.harvard.edu/abs/1999ApJ...522..563W,astro-ph/9810011,Multiple values given
pec vels,Beta,0.49,0.07,0,ApJ,Willick,9,1997,120,http://adsabs.harvard.edu/abs/1997ApJ...486..629W,astro-ph/9612240,
lensing,Omega_M,0.1,0.02,0,ApJ,Wilson,8,2001,52,http://adsabs.harvard.edu/abs/2001ApJ...556..601W,astro-ph/0102396,Multiple values given
lensing,H_0,44,9,0,ApJ,Winn,8,2002,36,http://adsabs.harvard.edu/abs/2002ApJ...575..103W,astro-ph/0201551,
SN,w_0,-1.07,0.16,0,ApJ,Wood-Vasey,9,2007,440,http://adsabs.harvard.edu/abs/2007ApJ...666..694W,astro-ph/0701041,
SN,Omega_M,0.274,0.033,-0.02,ApJ,Wood-Vasey,9,2007,440,http://adsabs.harvard.edu/abs/2007ApJ...666..694W,astro-ph/0701041,
other,Omega_M,0.15,0.45,-0.13,ApJ,Xu,11,2005,44,http://adsabs.harvard.edu/abs/2005ApJ...633..603X,astro-ph/0501458,Multiple values given
LSS,Omega_M,0.35,0.15,0,ApJ,Yamamoto,4,2004,5,http://adsabs.harvard.edu/abs/2004ApJ...605..620Y,astro-ph/0401039,Range data in abstract
lensing,w_0,-0.88,0.65,1.03,ApJ,Zhang,4,2009,8,http://adsabs.harvard.edu/abs/2009ApJ...694.1402Z,0708.2164,Multiple values given
CMB,Omega_M,0.255,0.015,-0.017,ApJSS,Bennett,9,2003,2882,http://adsabs.harvard.edu/abs/2003ApJS..148....1B,astro-ph/0302207,Parameterised value
CMB,Omega_baryon,0.042,0.002,0,ApJSS,Bennett,9,2003,2882,http://adsabs.harvard.edu/abs/2003ApJS..148....1B,astro-ph/0302207,Parameterised value
CMB,w_0,-0.78,0,0,ApJSS,Bennett,9,2003,2882,http://adsabs.harvard.edu/abs/2003ApJS..148....1B,astro-ph/0302207,Constraint given
CMB,Omega_Lambda,0.742,0.03,0,ApJSS,Dunkley,2,2009,995,http://adsabs.harvard.edu/abs/2009ApJS..180..306D,0803.0586,More parameters given in abstract
CMB,Sigma_8,0.796,0.036,0,ApJSS,Dunkley,2,2009,995,http://adsabs.harvard.edu/abs/2009ApJS..180..306D,0803.0586,More parameters given in abstract
combined,Sigma_8,0.812,0.026,0,ApJSS,Hinshaw,2,2009,668,http://adsabs.harvard.edu/abs/2009ApJS..180..225H,0803.0732,
combined,H_0,70.5,1.3,0,ApJSS,Hinshaw,2,2009,668,http://adsabs.harvard.edu/abs/2009ApJS..180..225H,0803.0732,
combined,Omega_baryon,0.046,0.002,0,ApJSS,Hinshaw,2,2009,668,http://adsabs.harvard.edu/abs/2009ApJS..180..225H,0803.0732,
combined,Omega_Lambda,0.726,0.015,0,ApJSS,Hinshaw,2,2009,668,http://adsabs.harvard.edu/abs/2009ApJS..180..225H,0803.0732,
combined,Omega_K,0.005,0.002,0,ApJSS,Hinshaw,2,2009,668,http://adsabs.harvard.edu/abs/2009ApJS..180..225H,0803.0732,
SN,Omega_M,0.307,0.019,0,ApJSS,Kessler,11,2009,72,http://adsabs.harvard.edu/abs/2009ApJS..185...32K,0908.4274,
SN,w_0,-0.76,0.07,0,ApJSS,Kessler,11,2009,72,http://adsabs.harvard.edu/abs/2009ApJS..185...32K,0908.4274,Multiple values given
SN,Omega_M,0.265,0.016,0,ApJSS,Kessler,11,2009,72,http://adsabs.harvard.edu/abs/2009ApJS..185...32K,0908.4274,
pec vels,Sigma_8,0.91,0.22,-0.18,MNRAS,Abate,12,2009,2,http://adsabs.harvard.edu/abs/2009MNRAS.400.1541A,0905.2967,
CMB,Omega_K,-0.11,0.26,-0.19,MNRAS,Abroe,7,2002,43,http://adsabs.harvard.edu/abs/2002MNRAS.334...11A,astro-ph/0111010,Can’t see parameter in abstract
CMB,n,1.02,0.31,-0.1,MNRAS,Abroe,7,2002,43,http://adsabs.harvard.edu/abs/2002MNRAS.334...11A,astro-ph/0111010,
CMB,Omega_baryon,0.053,0.04,-0.022,MNRAS,Abroe,7,2002,43,http://adsabs.harvard.edu/abs/2002MNRAS.334...11A,astro-ph/0111010,Parameterised value
SN,w_0,0,0,0,MNRAS,Alam,10,2003,178,http://adsabs.harvard.edu/abs/2003MNRAS.344.1057A,astro-ph/0303009,"Constrained value, but constraint is greater than"
other,w_0,0,0,0,MNRAS,Alcaniz,4,2003,33,http://adsabs.harvard.edu/abs/2003MNRAS.340L..39A,astro-ph/0301226,Constrained value → zero
other,Omega_Lambda,0,0,0,MNRAS,Alcaniz,4,2003,33,http://adsabs.harvard.edu/abs/2003MNRAS.340L..39A,astro-ph/0301226,"Constrained value, but constraint is greater than"
Clusters,Omega_M,0.3,0.04,-0.03,MNRAS,Allen,8,2002,179,http://adsabs.harvard.edu/abs/2002MNRAS.334L..11A,astro-ph/0205007,
Clusters,Omega_Lambda,0.95,0.48,-0.72,MNRAS,Allen,8,2002,179,http://adsabs.harvard.edu/abs/2002MNRAS.334L..11A,astro-ph/0205007,
Clusters,Sigma_8,0.695,0.042,0,MNRAS,Allen,6,2003,120,http://adsabs.harvard.edu/abs/2003MNRAS.342..287A,astro-ph/0208394,
Clusters,Omega_M,0.287,0.036,0,MNRAS,Allen,6,2003,120,http://adsabs.harvard.edu/abs/2003MNRAS.342..287A,astro-ph/0208394,
combined,m_nu,0.2,0.1,0,MNRAS,Allen,12,2003,88,http://adsabs.harvard.edu/abs/2003MNRAS.346..593A,astro-ph/0306386,
combined,Sigma_8,0.74,0.12,-0.07,MNRAS,Allen,12,2003,88,http://adsabs.harvard.edu/abs/2003MNRAS.346..593A,astro-ph/0306386,
combined,H_0,68.4,2,-1.4,MNRAS,Allen,12,2003,88,http://adsabs.harvard.edu/abs/2003MNRAS.346..593A,astro-ph/0306386,
combined,Omega_M,0.31,0.02,0,MNRAS,Allen,12,2003,88,http://adsabs.harvard.edu/abs/2003MNRAS.346..593A,astro-ph/0306386,
combined,Omega_baryon,0.048,0.002,0,MNRAS,Allen,12,2003,88,http://adsabs.harvard.edu/abs/2003MNRAS.346..593A,astro-ph/0306386,Parameterised value
Clusters,w_0,-1.26,0.24,0,MNRAS,Allen,9,2004,292,http://adsabs.harvard.edu/abs/2004MNRAS.353..457A,astro-ph/0405340,More parameters given in abstract
Clusters,Omega_Lambda,0.94,0.21,-0.23,MNRAS,Allen,9,2004,292,http://adsabs.harvard.edu/abs/2004MNRAS.353..457A,astro-ph/0405340,More parameters given in abstract
Clusters,Omega_M,0.253,0.021,0,MNRAS,Allen,1,2008,122,http://adsabs.harvard.edu/abs/2008MNRAS.383..879A,0706.0033,
Clusters,w_0,-0.98,0.07,0,MNRAS,Allen,1,2008,122,http://adsabs.harvard.edu/abs/2008MNRAS.383..879A,0706.0033,
SN,H_0,71,8,0,MNRAS,Altavilla,4,2004,70,http://adsabs.harvard.edu/abs/2004MNRAS.349.1344A,astro-ph/0401273,
other,Omega_Lambda,0.78,0.18,0,MNRAS,Amati,12,2008,44,http://adsabs.harvard.edu/abs/2008MNRAS.391..577A,0805.0377,"I think this is it, but can’t find values"
z distort,Beta,1.04,0.3,0,MNRAS,Ballinger,10,1995,28,http://adsabs.harvard.edu/abs/1995MNRAS.276L..59B,,
LSS,Beta,0.2,0.029,-0.016,MNRAS,Basilakos,4,2004,1,http://adsabs.harvard.edu/abs/2004MNRAS.349..882B,astro-ph/0304551,
LSS,Omega_M,0.26,0.05,0,MNRAS,Basilakos,11,2009,1,http://adsabs.harvard.edu/abs/2009MNRAS.400L..57B,0909.3919,
LSS,w_0,-0.93,0.11,-0.19,MNRAS,Basilakos,11,2009,1,http://adsabs.harvard.edu/abs/2009MNRAS.400L..57B,0909.3919,
z distort,Beta,0.2,0.19,-0.199,MNRAS,Baugh,5,1996,79,http://adsabs.harvard.edu/abs/1996MNRAS.280..267B,astro-ph/9512011,Lots of range data
lensing,Sigma_8,0.84,0.05,0,MNRAS,Benjamin,10,2007,91,http://adsabs.harvard.edu/abs/2007MNRAS.381..702B,astro-ph/0703570,Correct value? Seems to be parameterised
LSS,Gamma,0.195,0.023,0,MNRAS,Blake,2,2007,77,http://adsabs.harvard.edu/abs/2007MNRAS.374.1527B,astro-ph/0605303,Correct parameter?
BBN,Omega_baryon,0.029,0.006,-0.007,MNRAS,Bonifacio,3,1997,213,http://adsabs.harvard.edu/abs/1997MNRAS.285..847B,astro-ph/9611043,"I think this is it, but can’t find values"
LSS,Gamma,0.125,0.075,0,MNRAS,Borgani,5,1999,42,http://adsabs.harvard.edu/abs/1999MNRAS.305..866B,astro-ph/9812417,"I think this is it, but can’t find values"
LSS,Sigma_8,1.4,-0.6,0,MNRAS,Borgani,5,1999,42,http://adsabs.harvard.edu/abs/1999MNRAS.305..866B,astro-ph/9812417,
pec vels,Beta,0.6,0.22,0,MNRAS,Branchini,9,1999,97,http://adsabs.harvard.edu/abs/1999MNRAS.308....1B,astro-ph/9901366,Very strange way of writing values…
pec vels,Omega_M,0.99,0.36,0,MNRAS,Branchini,4,2000,19,http://adsabs.harvard.edu/abs/2000MNRAS.313..491B,astro-ph/9911046,"I think this is it, but can’t find values"
pec vels,Beta,0.42,0.04,0,MNRAS,Branchini,9,2001,24,http://adsabs.harvard.edu/abs/2001MNRAS.326.1191B,astro-ph/0104430,
combined,Omega_M,0.37,0.06,0,MNRAS,Bridle,12,1999,38,http://adsabs.harvard.edu/abs/1999MNRAS.310..565B,astro-ph/9903472,Range data in abstract
combined,H_0,54,5,0,MNRAS,Bridle,12,1999,38,http://adsabs.harvard.edu/abs/1999MNRAS.310..565B,astro-ph/9903472,Range data in abstract
combined,Sigma_8,0.74,0.05,0,MNRAS,Bridle,12,1999,38,http://adsabs.harvard.edu/abs/1999MNRAS.310..565B,astro-ph/9903472,Range data in abstract
combined,Omega_M,0.28,0.05,0,MNRAS,Bridle,2,2001,39,http://adsabs.harvard.edu/abs/2001MNRAS.321..333B,astro-ph/0006170,
combined,Sigma_8,1.17,0.1,0,MNRAS,Bridle,2,2001,39,http://adsabs.harvard.edu/abs/2001MNRAS.321..333B,astro-ph/0006170,
combined,H_0,74,5,0,MNRAS,Bridle,2,2001,39,http://adsabs.harvard.edu/abs/2001MNRAS.321..333B,astro-ph/0006170,
BBN,Omega_baryon,0.078,0.024,0,MNRAS,Bristow,3,1994,30,http://adsabs.harvard.edu/abs/1994MNRAS.267...13B,,"I think this is it, but can’t find values"
lensing,Omega_M,0.27,0.02,-0.01,MNRAS,Brown,5,2003,115,http://adsabs.harvard.edu/abs/2003MNRAS.341..100B,astro-ph/0210213,
lensing,Sigma_8,0.73,0.06,-0.03,MNRAS,Brown,5,2003,115,http://adsabs.harvard.edu/abs/2003MNRAS.341..100B,astro-ph/0210213,
lensing,Omega_baryon,0.176,0.019,-0.012,MNRAS,Brownstein,11,2007,24,http://adsabs.harvard.edu/abs/2007MNRAS.382...29B,astro-ph/0702146,
CMB,Beta,0.25,0.06,0,MNRAS,Brunozzi,12,1995,19,http://adsabs.harvard.edu/abs/1995MNRAS.277.1210B,astro-ph/9506110,More than one value actually given in abstract
ISW,Omega_Lambda,0.825,0.025,0,MNRAS,Cabre,10,2006,68,http://adsabs.harvard.edu/abs/2006MNRAS.372L..23C,astro-ph/0603690,
lensing,Omega_M,0.31,0.029,0,MNRAS,Chae,12,2003,58,http://adsabs.harvard.edu/abs/2003MNRAS.346..746C,astro-ph/0211244,
pec vels,Beta,0.66,0.21,-0.07,MNRAS,Ciecielg,4,2004,5,http://adsabs.harvard.edu/abs/2004MNRAS.349..945C,astro-ph/0401195,
z distort,Beta,0.35,0.05,0,MNRAS,Cole,4,1994,100,http://adsabs.harvard.edu/abs/1994MNRAS.267..785C,astro-ph/9308003,
z distort,Beta,0.52,0.13,0,MNRAS,Cole,7,1995,85,http://adsabs.harvard.edu/abs/1995MNRAS.275..515C,astro-ph/9412062,More than one value actually given in abstract
CMB,Omega_M,0.325,0.075,0,MNRAS,Cole,7,1997,50,http://adsabs.harvard.edu/abs/1997MNRAS.289...37C,astro-ph/9702082,
LSS,Gamma,0.168,0.016,0,MNRAS,Cole,9,2005,617,http://adsabs.harvard.edu/abs/2005MNRAS.362..505C,astro-ph/0501174,"I think this is it, but can’t find values"
other,H_0,42,9,0,MNRAS,Collier,1,1999,26,http://adsabs.harvard.edu/abs/1999MNRAS.302L..24C,astro-ph/9811278,
Clusters,Omega_M,0.55,0.075,0,MNRAS,Collins,6,1998,41,http://adsabs.harvard.edu/abs/1998MNRAS.297..128C,astro-ph/9712104,
z distort,Beta,0.46,0.14,0,MNRAS,Croft,5,1999,21,http://adsabs.harvard.edu/abs/1999MNRAS.305..547C,astro-ph/9801254,
Clusters,H_0,74,4,-3.5,MNRAS,Cunha,7,2007,9,http://adsabs.harvard.edu/abs/2007MNRAS.379L...1C,astro-ph/0611934,
z distort,Omega_M,0.35,0.19,-0.13,MNRAS,DaAngela,7,2005,19,,,
z distort,Omega_M,0.55,0.45,-0.16,MNRAS,DaAngela,8,2005,6,,,
LSS,m_nu,2.48,0,-1.24,MNRAS,De,1,2010,2,http://adsabs.harvard.edu/abs/2010MNRAS.401.1989D,0910.1310,
CMB,Omega_Lambda,0,0,0,MNRAS,Durrer,1,1990,5,http://adsabs.harvard.edu/abs/1990MNRAS.242..221D,,Constrained value → zero
combined,Omega_M,0.25,0.09,-0.06,MNRAS,Efstathiou,3,1999,114,http://adsabs.harvard.edu/abs/1999MNRAS.303L..47E,astro-ph/9812226,
combined,Omega_Lambda,0.63,0.085,0.115,MNRAS,Efstathiou,3,1999,114,http://adsabs.harvard.edu/abs/1999MNRAS.303L..47E,astro-ph/9812226,
combined,w_0,0,0,0,MNRAS,Efstathiou,12,1999,125,http://adsabs.harvard.edu/abs/1999MNRAS.310..842E,astro-ph/9904356,
combined,Omega_Lambda,0.75,0.1,0,MNRAS,Efstathiou,2,2002,241,http://adsabs.harvard.edu/abs/2002MNRAS.330L..29E,astro-ph/0109152,Range data in abstract
Clusters,Sigma_8,1,0.077,0,MNRAS,Eke,9,1996,909,http://adsabs.harvard.edu/abs/1996MNRAS.282..263E,astro-ph/9601088,"I think this is it, but can’t find values"
Clusters,Omega_M,0.45,0.25,0,MNRAS,Eke,8,1998,240,http://adsabs.harvard.edu/abs/1998MNRAS.298.1145E,astro-ph/9802350,
Clusters,Sigma_8,0.89,0.2,0,MNRAS,Eke,8,2006,23,http://adsabs.harvard.edu/abs/2006MNRAS.370.1147E,astro-ph/0510643,Parameterised value
combined,Omega_M,0.26,0.06,0,MNRAS,Erdogdu,4,2003,11,http://adsabs.harvard.edu/abs/2003MNRAS.340..573E,astro-ph/0202357,
Clusters,Omega_M,0,0,0,MNRAS,Ettori,5,1999,178,http://adsabs.harvard.edu/abs/1999MNRAS.305..834E,astro-ph/9901304,
pec vels,Gamma,0.09,0.04,0,MNRAS,Feldman,6,2008,8,http://adsabs.harvard.edu/abs/2008MNRAS.387..825F,0802.2961,More than one value actually given in abstract
other,Omega_Lambda,0.72,0.03,0,MNRAS,Firmani,6,2005,62,http://adsabs.harvard.edu/abs/2005MNRAS.360L...1F,astro-ph/0501395,"I think this is it, but can’t find values"
z distort,Beta,0.45,0.27,-0.18,MNRAS,Fisher,4,1994,154,http://adsabs.harvard.edu/abs/1994MNRAS.267..927F,astro-ph/9308013,
pec vels,Beta,1,0.2,0,MNRAS,Fisher,1,1994,92,http://adsabs.harvard.edu/abs/1994MNRAS.266..219F,astro-ph/9309027,
z distort,Beta,0.6,0.2,0,MNRAS,Fisher,3,1996,42,http://adsabs.harvard.edu/abs/1996MNRAS.279L...1F,astro-ph/9510049,Correct parameter?
LSS,Gamma,0.14,0.02,0,MNRAS,Frith,12,2005,7,http://adsabs.harvard.edu/abs/2005MNRAS.364..593F,astro-ph/0507215,
LSS,Gamma,0.45,0.1,0,MNRAS,Gaztanaga,2,1998,80,http://adsabs.harvard.edu/abs/1998MNRAS.294..229G,astro-ph/9704246,Correct parameter?
LSS,Sigma_8,0.88,0.12,-0.1,MNRAS,Gaztanaga,12,2005,29,http://adsabs.harvard.edu/abs/2005MNRAS.364..620G,astro-ph/0506249,
ISW,Omega_Lambda,0.7,0.05,0,MNRAS,Gaztanaga,1,2006,39,http://adsabs.harvard.edu/abs/2006MNRAS.365..171G,astro-ph/0407022,
ISW,w_0,-1.02,0.17,0,MNRAS,Gaztanaga,1,2006,39,http://adsabs.harvard.edu/abs/2006MNRAS.365..171G,astro-ph/0407022,
combined,Omega_M,0.28,0.05,0,MNRAS,Gaztanaga,10,2009,7,http://adsabs.harvard.edu/abs/2009MNRAS.399..801G,0807.2448,
combined,Omega_baryon,0.079,0.025,0,MNRAS,Gaztanaga,10,2009,7,http://adsabs.harvard.edu/abs/2009MNRAS.399..801G,0807.2448,
Clusters,H_0,84,19,0,MNRAS,Grainge,2,2002,22,http://adsabs.harvard.edu/abs/2002MNRAS.329..890G,astro-ph/0102496,
pec vels,Omega_M,0.235,0.035,0,MNRAS,Gramann,8,2000,4,http://adsabs.harvard.edu/abs/2000MNRAS.316..631G,astro-ph/0003455,Range data in abstract
CMB,n,1.1,0.1,0,MNRAS,Hancock,8,1997,41,http://adsabs.harvard.edu/abs/1997MNRAS.289..505H,astro-ph/9703043,
CMB,n,1.1,0.1,0,MNRAS,Hancock,2,1998,96,http://adsabs.harvard.edu/abs/1998MNRAS.294L...1H,astro-ph/9708254,
CMB,Omega_K,0.7,0.8,-0.5,MNRAS,Hancock,2,1998,96,http://adsabs.harvard.edu/abs/1998MNRAS.294L...1H,astro-ph/9708254,
combined,Omega_M,0.45,0.07,0,MNRAS,Hannestad,10,1999,0,http://adsabs.harvard.edu/abs/1999MNRAS.309..556H,,
combined,Omega_M,39,14,-13,MNRAS,Hannestad,10,1999,0,http://adsabs.harvard.edu/abs/1999MNRAS.309..556H,,Wrong paramer
LSS,Sigma_8,0.97,0.06,0,MNRAS,Harker,12,2007,3,http://adsabs.harvard.edu/abs/2007MNRAS.382.1503H,0709.3470,
pec vels,Beta,0.55,0.04,0,MNRAS,Hatton,12,1999,21,http://adsabs.harvard.edu/abs/1999MNRAS.310.1137H,astro-ph/9905186,
z distort,Beta,0.49,0.09,0,MNRAS,Hawkins,11,2003,343,http://adsabs.harvard.edu/abs/2003MNRAS.346...78H,astro-ph/0212375,Final value not listed?
pec vels,Omega_M,0,0,0,MNRAS,Heavens,7,1991,5,http://adsabs.harvard.edu/abs/1991MNRAS.251..267H,,"I think this is it, but can’t find values"
z distort,Beta,1.1,0.3,0,MNRAS,Heavens,7,1995,83,http://adsabs.harvard.edu/abs/1995MNRAS.275..483H,astro-ph/9409027,
other,H_0,65,6,0,MNRAS,Hendry,6,2001,5,http://adsabs.harvard.edu/abs/2001MNRAS.324..717H,,
lensing,Sigma_8,0.71,0.11,0,MNRAS,Heymans,1,2004,60,http://adsabs.harvard.edu/abs/2004MNRAS.347..895H,astro-ph/0310174,Correct value? Seems to be parameterised
lensing,Sigma_8,0.68,0.13,0,MNRAS,Heymans,7,2005,62,http://adsabs.harvard.edu/abs/2005MNRAS.361..160H,astro-ph/0411324,Correct value? Seems to be parameterised
